Name,Count,Year,Country
Benjamin,3695,2015,Argentina
Isabella,3294,2015,Argentina
Martina,3041,2015,Argentina
Catalina,3006,2015,Argentina
Bautista,2771,2015,Argentina
Sofia,2611,2015,Argentina
Olivia,2544,2015,Argentina
Felipe,2479,2015,Argentina
Emma,2395,2015,Argentina
Valentino,2340,2015,Argentina
Benicio,2301,2015,Argentina
Joaquín,2298,2015,Argentina
Delfina,2166,2015,Argentina
Lorenzo,2144,2015,Argentina
Francesca,2098,2015,Argentina
Valentina,2046,2015,Argentina
Emilia,2021,2015,Argentina
Mateo,1974,2015,Argentina
Juan Ignacio,1967,2015,Argentina
Santino,1893,2015,Argentina
Tomás,1825,2015,Argentina
Francisco,1785,2015,Argentina
Juana,1741,2015,Argentina
Josefina,1608,2015,Argentina
Santiago,1572,2015,Argentina
Simon,1537,2015,Argentina
Guillermina,1499,2015,Argentina
Ignacio,1456,2015,Argentina
Victoria,1438,2015,Argentina
Guadalupe,1392,2015,Argentina
Agustin,1350,2015,Argentina
Thiago Benjamín,1305,2015,Argentina
Julieta,1283,2015,Argentina
Pedro,1249,2015,Argentina
Renata,1209,2015,Argentina
Alma,1205,2015,Argentina
Jazmin,1192,2015,Argentina
Ciro,1188,2015,Argentina
Juan Cruz,1123,2015,Argentina
Thiago,1116,2015,Argentina
Lola,1100,2015,Argentina
Pilar,1094,2015,Argentina
Lucia,1069,2015,Argentina
Lautaro,1049,2015,Argentina
Bruno,1038,2015,Argentina
Malena,995,2015,Argentina
Julia,971,2015,Argentina
Dante,949,2015,Argentina
Valentin,917,2015,Argentina
Salvador,904,2015,Argentina
Nicolas,899,2015,Argentina
Juan Bautista,854,2015,Argentina
Maximo,844,2015,Argentina
Mia,840,2015,Argentina
Tiziano,834,2015,Argentina
León,833,2015,Argentina
Camila,831,2015,Argentina
Clara,814,2015,Argentina
Bianca,812,2015,Argentina
Milo,786,2015,Argentina
Facundo,780,2015,Argentina
Vicente,764,2015,Argentina
Mateo Benjamin,764,2015,Argentina
Helena,757,2015,Argentina
Zoe,740,2015,Argentina
Agustina,731,2015,Argentina
Ambar,721,2015,Argentina
Ramiro,711,2015,Argentina
Manuel,711,2015,Argentina
Maria Emilia,690,2015,Argentina
Nina,688,2015,Argentina
Juan Martin,663,2015,Argentina
Julián,660,2015,Argentina
Bastian,647,2015,Argentina
María Paz,604,2015,Argentina
Paulina,600,2015,Argentina
Mora,596,2015,Argentina
Jeremías,588,2015,Argentina
Tiziano Benjamin,581,2015,Argentina
Amparo,580,2015,Argentina
Juan Pablo,577,2015,Argentina
Morena,571,2015,Argentina
Franco,568,2015,Argentina
Matias,557,2015,Argentina
Felicitas,553,2015,Argentina
Ciro Benjamin,535,2015,Argentina
Santino Benjamin,529,2015,Argentina
Luca,520,2015,Argentina
Genaro,518,2015,Argentina
Marìa Victoria,517,2015,Argentina
Lucas,508,2015,Argentina
Augusto,498,2015,Argentina
Mia Jazmin,494,2015,Argentina
Fausto,492,2015,Argentina
Mia Valentina,487,2015,Argentina
Camilo,487,2015,Argentina
Vera,486,2015,Argentina
Elena,485,2015,Argentina
Giovanni,484,2015,Argentina
Lucio,478,2015,Argentina
Juliana,475,2015,Argentina
Antonella,475,2015,Argentina
Antonia,473,2015,Argentina
Lautaro Benjamin,468,2015,Argentina
Agostina,467,2015,Argentina
Luz Milagros,460,2015,Argentina
Ana Paula,460,2015,Argentina
Matilda,448,2015,Argentina
Martin,446,2015,Argentina
Constanza,440,2015,Argentina
Alejo,439,2015,Argentina
Paloma,436,2015,Argentina
Juan Manuel,436,2015,Argentina
Ian,431,2015,Argentina
Benjamín Ezequiel,426,2015,Argentina
Gael,424,2015,Argentina
Lara,415,2015,Argentina
Luciano,415,2015,Argentina
Federico,408,2015,Argentina
Milagros,401,2015,Argentina
Lisandro,396,2015,Argentina
Pía,395,2015,Argentina
Francesco,394,2015,Argentina
Lourdes,393,2015,Argentina
Noah,390,2015,Argentina
Sara,388,2015,Argentina
Bautista Benjamin,388,2015,Argentina
Alfonsina,384,2015,Argentina
Lupe,384,2015,Argentina
Sebastián,383,2015,Argentina
Alma Valentina,375,2015,Argentina
Zoe Valentina,372,2015,Argentina
Candelaria,368,2015,Argentina
Octavio,367,2015,Argentina
Thiago Nicolas,365,2015,Argentina
Alma Jazmin,364,2015,Argentina
Juan Francisco,363,2015,Argentina
Jonás,357,2015,Argentina
Santino Nicolas,357,2015,Argentina
Ian Benjamin,355,2015,Argentina
Thiago Valentin,355,2015,Argentina
Geronimo,354,2015,Argentina
Mateo Nicolás,352,2015,Argentina
Zoe Jazmín,346,2015,Argentina
Teo,344,2015,Argentina
Abril,342,2015,Argentina
Tobias,340,2015,Argentina
Gino,337,2015,Argentina
Abigail,335,2015,Argentina
Franchesca,334,2015,Argentina
Thiago Ezequiel,332,2015,Argentina
Luana,324,2015,Argentina
Sol,322,2015,Argentina
Justina,320,2015,Argentina
Milena,320,2015,Argentina
Maria Pia,315,2015,Argentina
Charo,313,2015,Argentina
Gonzalo,313,2015,Argentina
Alma Mia,311,2015,Argentina
Paz,310,2015,Argentina
Constantino,310,2015,Argentina
Juan,310,2015,Argentina
Antonio,308,2015,Argentina
Francisca,307,2015,Argentina
Maite,307,2015,Argentina
Ulises,303,2015,Argentina
Joaquina,302,2015,Argentina
Rafael,302,2015,Argentina
Micaela,300,2015,Argentina
Sofia Belen,297,2015,Argentina
Bautista Nicolas,296,2015,Argentina
Ana,294,2015,Argentina
Margarita,294,2015,Argentina
Oriana,288,2015,Argentina
Enzo,286,2015,Argentina
Ema,285,2015,Argentina
Ludmila,285,2015,Argentina
Nahiara Jazmín,284,2015,Argentina
Maia,284,2015,Argentina
Thiago Agustin,281,2015,Argentina
Sofia Valentina,281,2015,Argentina
Gaspar,281,2015,Argentina
Dylan,280,2015,Argentina
Mateo Ezequiel,280,2015,Argentina
Benjamin Nicolas,279,2015,Argentina
Alvaro,276,2015,Argentina
Emiliano,274,2015,Argentina
Amanda,274,2015,Argentina
Luciana,274,2015,Argentina
Miguel Angel,273,2015,Argentina
Fermín,271,2015,Argentina
Inés,270,2015,Argentina
Mia Isabella,270,2015,Argentina
Faustino,269,2015,Argentina
Santino Ezequiel,268,2015,Argentina
Martina Isabella,266,2015,Argentina
Tiziano Valentin,266,2015,Argentina
Mateo Agustín,265,2015,Argentina
Noah Benjamin,265,2015,Argentina
Samuel,261,2015,Argentina
Ezequiel,260,2015,Argentina
Vito,259,2015,Argentina
Morena Jazmìn,257,2015,Argentina
Tomas Agustin,256,2015,Argentina
Sofia Jazmin,256,2015,Argentina
Renzo,253,2015,Argentina
Paula,253,2015,Argentina
Luz,252,2015,Argentina
