Rank,Name,Count,Gender,Year,Country
1,María,8138,F,1990,Chile
2,Camila,4833,F,1990,Chile
3,Daniela,4771,F,1990,Chile
4,Nicole,4615,F,1990,Chile
5,Katherine,3399,F,1990,Chile
6,Carolina,3118,F,1990,Chile
7,Claudia,2463,F,1990,Chile
8,Ana,2307,F,1990,Chile
9,Francisca,2307,F,1990,Chile
10,Natalia,1964,F,1990,Chile
11,Constanza,1871,F,1990,Chile
12,Paulina,1871,F,1990,Chile
13,Karen,1840,F,1990,Chile
14,Carla,1684,F,1990,Chile
15,Macarena,1559,F,1990,Chile
16,Alejandra,1497,F,1990,Chile
17,Catalina,1466,F,1990,Chile
18,Javiera,1372,F,1990,Chile
19,Bárbara,1372,F,1990,Chile
20,Valeria,1310,F,1990,Chile
21,Andrea,1310,F,1990,Chile
22,Romina,1278,F,1990,Chile
23,Fernanda,1216,F,1990,Chile
24,Paula,1216,F,1990,Chile
25,Pamela,1216,F,1990,Chile
26,Elizabeth,1123,F,1990,Chile
27,Patricia,1123,F,1990,Chile
28,Tamara,1091,F,1990,Chile
29,Karina,1060,F,1990,Chile
30,Jocelyn,1029,F,1990,Chile
31,Evelyn,1029,F,1990,Chile
32,Marcela,998,F,1990,Chile
33,Gabriela,998,F,1990,Chile
34,Valentina,998,F,1990,Chile
35,Karla,811,F,1990,Chile
36,Paola,811,F,1990,Chile
37,Nicol,780,F,1990,Chile
38,Catherine,748,F,1990,Chile
39,Vanessa,748,F,1990,Chile
40,Viviana,748,F,1990,Chile
41,Yesenia,748,F,1990,Chile
42,Victoria,717,F,1990,Chile
43,Yasna,717,F,1990,Chile
44,Verónica,717,F,1990,Chile
45,Jennifer,717,F,1990,Chile
46,Valeska,655,F,1990,Chile
47,Yessenia,655,F,1990,Chile
48,Nataly,655,F,1990,Chile
49,Rocío,624,F,1990,Chile
50,Jessica,624,F,1990,Chile
1,María,7899,F,1991,Chile
2,Camila,4903,F,1991,Chile
3,Daniela,4449,F,1991,Chile
4,Nicole,3904,F,1991,Chile
5,Katherine,3269,F,1991,Chile
6,Carolina,3147,F,1991,Chile
7,Francisca,2724,F,1991,Chile
8,Bárbara,2572,F,1991,Chile
9,Claudia,2300,F,1991,Chile
10,Constanza,2240,F,1991,Chile
11,Ana,1816,F,1991,Chile
12,Javiera,1786,F,1991,Chile
13,Natalia,1755,F,1991,Chile
14,Paulina,1695,F,1991,Chile
15,Valentina,1574,F,1991,Chile
16,Catalina,1543,F,1991,Chile
17,Carla,1513,F,1991,Chile
18,Romina,1392,F,1991,Chile
19,Karen,1362,F,1991,Chile
20,Macarena,1301,F,1991,Chile
21,Fernanda,1301,F,1991,Chile
22,Andrea,1301,F,1991,Chile
23,Paula,1301,F,1991,Chile
24,Gabriela,1301,F,1991,Chile
25,Alejandra,1241,F,1991,Chile
26,Valeria,1150,F,1991,Chile
27,Elizabeth,1090,F,1991,Chile
28,Tamara,1090,F,1991,Chile
29,Pamela,1059,F,1991,Chile
30,Karina,1059,F,1991,Chile
31,Patricia,999,F,1991,Chile
32,Evelyn,938,F,1991,Chile
33,Marcela,878,F,1991,Chile
34,Nicol,787,F,1991,Chile
35,Karla,787,F,1991,Chile
36,Victoria,726,F,1991,Chile
37,Jocelyn,696,F,1991,Chile
38,Paola,696,F,1991,Chile
39,Solange,666,F,1991,Chile
40,Vanessa,666,F,1991,Chile
41,Verónica,636,F,1991,Chile
42,Rocío,636,F,1991,Chile
43,Catherine,605,F,1991,Chile
44,Viviana,605,F,1991,Chile
45,Nataly,605,F,1991,Chile
46,Jessica,575,F,1991,Chile
47,Valeska,575,F,1991,Chile
48,Cecilia,575,F,1991,Chile
49,Yasna,575,F,1991,Chile
50,Stephanie,575,F,1991,Chile
1,Camila,7932,F,1996,Chile
2,Javiera,6109,F,1996,Chile
3,María,6002,F,1996,Chile
4,Constanza,3617,F,1996,Chile
5,Francisca,3376,F,1996,Chile
6,Daniela,3082,F,1996,Chile
7,Catalina,2867,F,1996,Chile
8,Valentina,2814,F,1996,Chile
9,Bárbara,2706,F,1996,Chile
10,Fernanda,1876,F,1996,Chile
11,Carolina,1849,F,1996,Chile
12,Nicole,1688,F,1996,Chile
13,Claudia,1527,F,1996,Chile
14,Tamara,1420,F,1996,Chile
15,Katherine,1393,F,1996,Chile
16,Paula,1286,F,1996,Chile
17,Macarena,1286,F,1996,Chile
18,Natalia,1233,F,1996,Chile
19,Carla,1206,F,1996,Chile
20,Sofía,1099,F,1996,Chile
21,Gabriela,1018,F,1996,Chile
22,Alejandra,938,F,1996,Chile
23,Karina,911,F,1996,Chile
24,Paulina,911,F,1996,Chile
25,Valeria,884,F,1996,Chile
26,Rocío,857,F,1996,Chile
27,Andrea,777,F,1996,Chile
28,Ana,777,F,1996,Chile
29,Belén,777,F,1996,Chile
30,Romina,723,F,1996,Chile
31,Karla,670,F,1996,Chile
32,Marcela,670,F,1996,Chile
33,Michelle,670,F,1996,Chile
34,Elizabeth,670,F,1996,Chile
35,Patricia,643,F,1996,Chile
36,Karen,616,F,1996,Chile
37,Pamela,616,F,1996,Chile
38,Vanessa,590,F,1996,Chile
39,Victoria,563,F,1996,Chile
40,Genesis,563,F,1996,Chile
41,Danitza,563,F,1996,Chile
42,Estefanía,536,F,1996,Chile
43,Vania,482,F,1996,Chile
44,Angela,482,F,1996,Chile
45,Nicol,482,F,1996,Chile
46,Paola,456,F,1996,Chile
47,Isidora,456,F,1996,Chile
48,Alexandra,429,F,1996,Chile
49,Tania,402,F,1996,Chile
50,Verónica,402,F,1996,Chile
1,Camila,6893,F,1997,Chile
2,Javiera,6711,F,1997,Chile
3,María,5536,F,1997,Chile
4,Francisca,3943,F,1997,Chile
5,Constanza,3838,F,1997,Chile
6,Catalina,3342,F,1997,Chile
7,Valentina,2872,F,1997,Chile
8,Daniela,2820,F,1997,Chile
9,Bárbara,2272,F,1997,Chile
10,Fernanda,1906,F,1997,Chile
11,Tamara,1645,F,1997,Chile
12,Carolina,1619,F,1997,Chile
13,Natalia,1384,F,1997,Chile
14,Katherine,1306,F,1997,Chile
15,Nicole,1306,F,1997,Chile
16,Claudia,1227,F,1997,Chile
17,Carla,1097,F,1997,Chile
18,Sofía,1071,F,1997,Chile
19,Paula,1071,F,1997,Chile
20,Valeria,1071,F,1997,Chile
21,Gabriela,1018,F,1997,Chile
22,Macarena,966,F,1997,Chile
23,Rocío,888,F,1997,Chile
24,Belén,862,F,1997,Chile
25,Paulina,836,F,1997,Chile
26,Alejandra,809,F,1997,Chile
27,Ana,783,F,1997,Chile
28,Michelle,783,F,1997,Chile
29,Romina,757,F,1997,Chile
30,Karina,731,F,1997,Chile
31,Danitza,705,F,1997,Chile
32,Karla,679,F,1997,Chile
33,Andrea,679,F,1997,Chile
34,Karen,574,F,1997,Chile
35,Genesis,574,F,1997,Chile
36,Patricia,574,F,1997,Chile
37,Marcela,574,F,1997,Chile
38,Vanessa,574,F,1997,Chile
39,Elizabeth,574,F,1997,Chile
40,Isidora,548,F,1997,Chile
41,Estefanía,522,F,1997,Chile
42,Antonia,522,F,1997,Chile
43,Pamela,496,F,1997,Chile
44,Victoria,496,F,1997,Chile
45,Alexandra,470,F,1997,Chile
46,Nicol,418,F,1997,Chile
47,Paola,418,F,1997,Chile
48,Vania,418,F,1997,Chile
49,Angela,392,F,1997,Chile
50,Pía,392,F,1997,Chile
1,Camila,9296,F,1994,Chile
2,María,7072,F,1994,Chile
3,Daniela,4705,F,1994,Chile
4,Constanza,4021,F,1994,Chile
5,Francisca,3336,F,1994,Chile
6,Valentina,2395,F,1994,Chile
7,Bárbara,2338,F,1994,Chile
8,Javiera,2310,F,1994,Chile
9,Carolina,2253,F,1994,Chile
10,Nicole,2196,F,1994,Chile
11,Macarena,2139,F,1994,Chile
12,Catalina,1882,F,1994,Chile
13,Claudia,1882,F,1994,Chile
14,Katherine,1853,F,1994,Chile
15,Fernanda,1768,F,1994,Chile
16,Paula,1540,F,1994,Chile
17,Natalia,1397,F,1994,Chile
18,Carla,1369,F,1994,Chile
19,Gabriela,1169,F,1994,Chile
20,Paulina,1141,F,1994,Chile
21,Alejandra,1055,F,1994,Chile
22,Andrea,1027,F,1994,Chile
23,Tamara,998,F,1994,Chile
24,Ana,998,F,1994,Chile
25,Karina,998,F,1994,Chile
26,Valeria,855,F,1994,Chile
27,Marcela,855,F,1994,Chile
28,Romina,827,F,1994,Chile
29,Karen,827,F,1994,Chile
30,Karla,827,F,1994,Chile
31,Patricia,798,F,1994,Chile
32,Elizabeth,770,F,1994,Chile
33,Nicol,713,F,1994,Chile
34,Vanessa,684,F,1994,Chile
35,Pamela,684,F,1994,Chile
36,Rocío,656,F,1994,Chile
37,Victoria,656,F,1994,Chile
38,Yaritza,656,F,1994,Chile
39,Belén,627,F,1994,Chile
40,Sofía,599,F,1994,Chile
41,Jocelyn,570,F,1994,Chile
42,Paola,542,F,1994,Chile
43,Rosa,513,F,1994,Chile
44,Michelle,513,F,1994,Chile
45,Tania,513,F,1994,Chile
46,Angela,485,F,1994,Chile
47,Verónica,485,F,1994,Chile
48,Estefanía,485,F,1994,Chile
49,Jennifer,485,F,1994,Chile
50,Evelyn,456,F,1994,Chile
1,Constanza,4547,F,2005,Chile
2,Catalina,4379,F,2005,Chile
3,Valentina,4188,F,2005,Chile
4,Javiera,3757,F,2005,Chile
5,Martina,3661,F,2005,Chile
6,Sofia,3350,F,2005,Chile
7,Maria,3063,F,2005,Chile
