Name,Count,Year,Gender,Country
Juan,5831,1990,M,Chile
José,5457,1990,M,Chile
Sebastián,4771,1990,M,Chile
Luis,4584,1990,M,Chile
Francisco,4490,1990,M,Chile
Carlos,4147,1990,M,Chile
Felipe,4054,1990,M,Chile
Diego,3835,1990,M,Chile
Cristian,3555,1990,M,Chile
Jorge,3243,1990,M,Chile
Nicolás,2869,1990,M,Chile
Daniel,2838,1990,M,Chile
Pablo,2806,1990,M,Chile
Víctor,2744,1990,M,Chile
Rodrigo,2682,1990,M,Chile
Jonathan,2432,1990,M,Chile
Patricio,2183,1990,M,Chile
Claudio,2120,1990,M,Chile
Manuel,1996,1990,M,Chile
Eduardo,1902,1990,M,Chile
Miguel,1809,1990,M,Chile
Javier,1777,1990,M,Chile
Matías,1746,1990,M,Chile
Camilo,1715,1990,M,Chile
Mauricio,1684,1990,M,Chile
Alejandro,1621,1990,M,Chile
Sergio,1559,1990,M,Chile
David,1559,1990,M,Chile
Fabián,1497,1990,M,Chile
Fernando,1466,1990,M,Chile
Ricardo,1466,1990,M,Chile
Gonzalo,1434,1990,M,Chile
Héctor,1403,1990,M,Chile
Pedro,1341,1990,M,Chile
Andrés,1247,1990,M,Chile
Marcelo,1247,1990,M,Chile
Gabriel,1154,1990,M,Chile
Oscar,1154,1990,M,Chile
Alexis,1154,1990,M,Chile
Roberto,1123,1990,M,Chile
Jaime,1123,1990,M,Chile
Álvaro,1091,1990,M,Chile
Mario,1091,1990,M,Chile
Esteban,1060,1990,M,Chile
César,1060,1990,M,Chile
Ignacio,1029,1990,M,Chile
Cristopher,967,1990,M,Chile
Marco,967,1990,M,Chile
Cristóbal,935,1990,M,Chile
Iván,811,1990,M,Chile
Diego,5901,1991,M,Chile
José,5357,1991,M,Chile
Juan,5266,1991,M,Chile
Sebastián,4600,1991,M,Chile
Felipe,4358,1991,M,Chile
Luis,4267,1991,M,Chile
Francisco,3965,1991,M,Chile
Carlos,3601,1991,M,Chile
Cristian,3299,1991,M,Chile
Nicolás,2996,1991,M,Chile
Jorge,2875,1991,M,Chile
Víctor,2603,1991,M,Chile
Daniel,2572,1991,M,Chile
Pablo,2572,1991,M,Chile
Rodrigo,2512,1991,M,Chile
Jonathan,2300,1991,M,Chile
Matías,1937,1991,M,Chile
Claudio,1846,1991,M,Chile
Eduardo,1786,1991,M,Chile
Javier,1755,1991,M,Chile
Manuel,1755,1991,M,Chile
Patricio,1725,1991,M,Chile
Miguel,1695,1991,M,Chile
Camilo,1634,1991,M,Chile
Sergio,1513,1991,M,Chile
Ignacio,1483,1991,M,Chile
Mauricio,1483,1991,M,Chile
Alejandro,1453,1991,M,Chile
Fabián,1453,1991,M,Chile
Ricardo,1422,1991,M,Chile
David,1422,1991,M,Chile
Fernando,1392,1991,M,Chile
Gonzalo,1362,1991,M,Chile
Pedro,1301,1991,M,Chile
Héctor,1271,1991,M,Chile
Marcelo,1211,1991,M,Chile
Gabriel,1180,1991,M,Chile
Andrés,1090,1991,M,Chile
Oscar,1059,1991,M,Chile
Esteban,1059,1991,M,Chile
Álvaro,1059,1991,M,Chile
Jaime,999,1991,M,Chile
Alexis,999,1991,M,Chile
Roberto,999,1991,M,Chile
Cristóbal,968,1991,M,Chile
Mario,938,1991,M,Chile
César,908,1991,M,Chile
Marco,908,1991,M,Chile
Cristopher,878,1991,M,Chile
Ariel,847,1991,M,Chile
Matías,5279,1996,M,Chile
Sebastián,4368,1996,M,Chile
Nicolás,4207,1996,M,Chile
José,4180,1996,M,Chile
Felipe,3912,1996,M,Chile
Diego,3564,1996,M,Chile
Juan,3403,1996,M,Chile
Luis,3323,1996,M,Chile
Francisco,2814,1996,M,Chile
Cristian,2546,1996,M,Chile
Carlos,2438,1996,M,Chile
Rodrigo,2197,1996,M,Chile
Javier,2170,1996,M,Chile
Daniel,2144,1996,M,Chile
Ignacio,2117,1996,M,Chile
Jorge,2010,1996,M,Chile
Pablo,1903,1996,M,Chile
Benjamín,1876,1996,M,Chile
Bastián,1849,1996,M,Chile
Víctor,1527,1996,M,Chile
Esteban,1447,1996,M,Chile
Fabián,1393,1996,M,Chile
Manuel,1393,1996,M,Chile
Eduardo,1367,1996,M,Chile
Camilo,1340,1996,M,Chile
Kevin,1286,1996,M,Chile
Claudio,1259,1996,M,Chile
Marcelo,1259,1996,M,Chile
Cristóbal,1233,1996,M,Chile
Miguel,1233,1996,M,Chile
Gabriel,1233,1996,M,Chile
Patricio,1233,1996,M,Chile
Franco,1125,1996,M,Chile
David,1125,1996,M,Chile
Mauricio,1099,1996,M,Chile
Gonzalo,1099,1996,M,Chile
Alejandro,1099,1996,M,Chile
Sergio,1072,1996,M,Chile
Cristopher,1045,1996,M,Chile
Ricardo,965,1996,M,Chile
Fernando,965,1996,M,Chile
Andrés,965,1996,M,Chile
Jonathan,938,1996,M,Chile
Álvaro,884,1996,M,Chile
Pedro,884,1996,M,Chile
Joaquín,804,1996,M,Chile
Héctor,804,1996,M,Chile
Bryan,777,1996,M,Chile
Oscar,750,1996,M,Chile
Tomás,697,1996,M,Chile
Nicolás,5510,1997,M,Chile
Matías,5013,1997,M,Chile
Diego,4700,1997,M,Chile
Sebastián,4700,1997,M,Chile
Felipe,3995,1997,M,Chile
José,3734,1997,M,Chile
