NOME,DIFFUSIONE
 ANDREA,2035
 FRANCESCO,1831
 MARIA,1780
 MARCO,1702
 GIUSEPPE,1695
 LUCA,1618
 ALESSANDRO,1586
 ANNA,1472
 ANTONIO,1365
 GIOVANNI,1346
 FRANCESCA,1339
 PAOLO,1327
 STEFANO,1227
 ROBERTO,1206
 MATTEO,1161
 ELENA,1113
 DAVIDE,1057
 GIULIA,1007
 LAURA,998
 SARA,984
 PAOLA,980
 CHIARA,896
 LUIGI,865
 LORENZO,861
 DANIELA,825
 DANIELE,779
 MASSIMO,775
 ALBERTO,774
 SALVATORE,770
 SILVIA,765
 SIMONE,764
 FRANCO,734
 GABRIELE,727
 RICCARDO,721
 CLAUDIO,719
 GIORGIO,701
 FEDERICO,698
 VALENTINA,685
 MONICA,676
 LUCIA,672
 ELISA,671
 CRISTINA,670
 FEDERICA,659
 FABIO,658
 GIOVANNA,657
 VINCENZO,643
 PATRIZIA,640
 MARIO,630
 GIUSEPPINA,622
 PIETRO,620
 MARTINA,616
 MAURO,612
 ANGELA,610
 BARBARA,591
 ALESSANDRA,580
 DOMENICO,575
 MICHELE,568
 LUCIANO,565
 MAURIZIO,554
 STEFANIA,532
 CARLA,531
 CARLO,520
 MATTIA,517
 SIMONA,514
 ANTONELLA,512
 FRANCA,507
 ROBERTA,506
 CLAUDIA,501
 ALESSIA,494
 ENRICO,481
 SERGIO,480
 FILIPPO,477
 ANGELO,475
 ALICE,471
 ELISABETTA,447
 LUISA,433
 FABRIZIO,430
 ANNA MARIA,426
 GIANNI,422
 GIANLUCA,412
 CRISTIAN,411
 GIORGIA,408
 NICOLA,407
 CATERINA,402
 RITA,402
 SILVANA,401
 SOFIA,394
 MARISA,389
 ROSA,387
 GIULIANO,364
 MARTA,358
 EMANUELE,345
 MARINA,345
 TERESA,344
 ELEONORA,340
 ILARIA,340
 LEONARDO,340
 TOMMASO,340
 ROSANNA,335
 CORRADO,334
 MASSIMILIANO,330
 CINZIA,329
 RAFFAELE,323
 GIANCARLO,322
 TIZIANA,321
 VALERIA,321
 BRUNO,314
 GIULIANA,314
 GIACOMO,313
 LUCIANA,311
 MANUELA,306
 MOHAMED,306
 ANNAMARIA,303
 ADRIANA,298
 ANNALISA,297
 VERONICA,287
 LOREDANA,286
 ANTONIETTA,283
 BEATRICE,283
 NADIA,283
 IVAN,279
 MARGHERITA,277
 CARMELA,276
 EMANUELA,273
 MIRELLA,265
 SABRINA,265
 ARIANNA,264
 GABRIELLA,264
 ALEX,252
 SAMUELE,252
 CHRISTIAN,250
 MATILDE,248
 SONIA,247
 CECILIA,246
 LILIANA,243
 EMMA,240
 NICOLO',240
 GIANFRANCO,238
 GRAZIELLA,237
 IRENE,236
 VITTORIO,234
 PASQUALE,232
 GRETA,231
 MARA,231
 AURORA,230
 GIADA,225
 LIDIA,225
 UMBERTO,224
 LORETTA,223
 BRUNA,221
 SILVANO,216
 TIZIANO,216
 GIULIO,214
 GAETANO,213
 ALESSIO,212
 FAUSTO,212
 MARCELLO,212
 ENRICA,211
 ENZO,199
 MARIANNA,199
 CIRO,198
 LINA,198
 GUIDO,196
 SANDRA,193
 ALDO,192
 MARIA GRAZIA,192
 DARIO,189
 ALFREDO,188
 CARMINE,188
 DIEGO,185
 RAFFAELLA,185
 EDDA,183
 IVANO,183
 ROMANO,182
 LETIZIA,181
 FILOMENA,179
 LORENA,179
 MIRCO,179
 DEANNA,178
 MANUEL,177
 MARIA TERESA,177
 MAURA,175
 RENZO,175
 ADELE,174
 MARIA LUISA,173
 EDOARDO,170
 GINO,169
 ADRIANO,168
 ISABELLA,168
 ERIKA,166
 SERENA,165
 BENEDETTA,163
 ROSSELLA,163
 JESSICA,162
 NICOLE,162
 AHMED,160
 MARZIA,160
 VITTORIA,160
 LISA,159
 ROSSANA,157
 CAMILLA,155
 GENNARO,155
 VANNA,154
 CARMEN,149
 GAIA,148
 ROSARIO,148
 DANIEL,147
 EMILIA,147
 LINDA,147
 CONCETTA,146
 LARA,146
 CAROLINA,145
 EMILIO,145
 RENATO,145
 VALERIO,143
 OLGA,142
 CARLOTTA,141
 DANILO,141
 NOEMI,140
 CESARE,138
 ROSARIA,138
 VINCENZA,138
 GLORIA,137
 DOMENICA,135
 LORENZA,135
 EUGENIO,134
 GRAZIA,134
 JACOPO,134
 MARIAGRAZIA,134
 GIANNA,133
 IDA,133
 RINA,133
 DEBORA,132
 DONATELLA,132
 IVANA,132
 MADDALENA,132
 CLARA,131
 BIANCA,129
 MARIA CRISTINA,128
 REBECCA,128
 TATIANA,126
 THOMAS,126
 CATIA,124
 ARMANDO,123
 NICOLETTA,123
 MARIYA,121
 OMAR,121
 MORENA,119
 ANTONIA,117
 ERMANNO,117
 VITO,117
 ALFONSO,116
 AGNESE,115
 INES,115
 KATIA,114
 KHADIJA,113
 VIOLA,113
 MIRIAM,111
 WILLIAM,111
 ETTORE,110
 GINA,110
 NATALIA,110
 FATIMA,108
 GRAZIANO,108
 SANDRO,108
 ASIA,107
 SAMUEL,107
 SILVIO,106
 ASSUNTA,105
 MARIALUISA,105
 MICHELA,105
 VIRGINIA,104
 LORIS,103
 ANGELICA,102
 ROCCO,102
 DIANA,101
 MIRKO,101
 SUSANNA,101
 REMO,100
 LAURO,98
 MILENA,98
 MONIA,97
 ELIA,96
 ELVIRA,96
 NATALIYA,96
 MOHAMMED,95
 CRISTIANO,94
 EVA,94
 LORELLA,94
 MARIA ROSARIA,93
 MARIANGELA,93
 ANTONINO,92
 ERICA,92
 IOLANDA,92
 FLAVIO,89
 MARILENA,89
 ELIO,87
 GIAMPAOLO,87
 SIMONETTA,87
 ANNUNZIATA,86
 DENIS,86
 ERMES,86
 MARCELLA,86
 MARIA PIA,86
 PIERINA,86
 COSIMO,85
 ILENIA,85
 MARIA ROSA,85
 NINA,85
 ROMANA,85
 ADA,84
 DINO,84
 MICHAEL,84
 FERNANDO,83
 RENATA,83
 GIORDANO,82
 MELISSA,82
