Nome;Diffusione (Frequenza);Diffusione (Percentuale)
 ANDREA;2084;1,2
 FRANCESCO;1826;1,1
 MARCO;1734;1,0
 GIUSEPPE;1684;1,0
 MARIA;1679;1,0
 ALESSANDRO;1666;1,0
 LUCA;1653;1,0
 ANNA;1439;0,8
 ANTONIO;1381;0,8
 FRANCESCA;1340;0,8
 GIOVANNI;1318;0,8
 PAOLO;1292;0,8
 STEFANO;1237;0,7
 ROBERTO;1202;0,7
 MATTEO;1197;0,7
 ELENA;1141;0,7
 DAVIDE;1072;0,6
 GIULIA;1041;0,6
 SARA;1014;0,6
 LAURA;991;0,6
 PAOLA;952;0,6
 CHIARA;927;0,5
 LORENZO;903;0,5
 LUIGI;831;0,5
 DANIELA;828;0,5
 DANIELE;789;0,5
 SIMONE;785;0,5
 MASSIMO;768;0,4
 GABRIELE;767;0,4
 RICCARDO;766;0,4
 SALVATORE;762;0,4
 SILVIA;760;0,4
 ALBERTO;757;0,4
 FEDERICO;733;0,4
 CLAUDIO;715;0,4
 CRISTINA;685;0,4
 MONICA;683;0,4
 ELISA;680;0,4
 FABIO;674;0,4
 FEDERICA;672;0,4
 VALENTINA;671;0,4
 GIORGIO;669;0,4
 FRANCO;661;0,4
 VINCENZO;646;0,4
 MARTINA;644;0,4
 LUCIA;641;0,4
 PATRIZIA;629;0,4
 GIOVANNA;622;0,4
 PIETRO;616;0,4
 ANGELA;608;0,4
 MAURO;605;0,4
 MICHELE;599;0,3
 GIUSEPPINA;594;0,3
 BARBARA;584;0,3
 MARIO;584;0,3
 ALESSANDRA;582;0,3
 MATTIA;567;0,3
 DOMENICO;561;0,3
 MAURIZIO;546;0,3
 STEFANIA;531;0,3
 SIMONA;526;0,3
 LUCIANO;522;0,3
 ROBERTA;521;0,3
 ANTONELLA;516;0,3
 ALESSIA;515;0,3
 FILIPPO;515;0,3
 CARLA;510;0,3
 CLAUDIA;505;0,3
 CARLO;488;0,3
 ENRICO;486;0,3
 ALICE;485;0,3
 FRANCA;466;0,3
 ELISABETTA;450;0,3
 SOFIA;449;0,3
 SERGIO;447;0,3
 ANGELO;439;0,3
 GIORGIA;433;0,3
 FABRIZIO;430;0,3
 LUISA;416;0,2
 LEONARDO;412;0,2
 GIANLUCA;411;0,2
 CATERINA;410;0,2
 CRISTIAN;410;0,2
 ANNA MARIA;407;0,2
 NICOLA;405;0,2
 GIANNI;398;0,2
 RITA;392;0,2
 TOMMASO;376;0,2
 SILVANA;374;0,2
 ROSA;370;0,2
 MARISA;362;0,2
 ELEONORA;358;0,2
 MARTA;357;0,2
 GIULIANO;352;0,2
 MARINA;351;0,2
 EMANUELE;349;0,2
 ILARIA;337;0,2
 VALERIA;333;0,2
