Rank,Name,Count,Year,Country
1,María,8138,1990,Chile
2,Camila,4833,1990,Chile
3,Daniela,4771,1990,Chile
4,Nicole,4615,1990,Chile
5,Katherine,3399,1990,Chile
6,Carolina,3118,1990,Chile
7,Claudia,2463,1990,Chile
8,Ana,2307,1990,Chile
9,Francisca,2307,1990,Chile
10,Natalia,1964,1990,Chile
11,Constanza,1871,1990,Chile
12,Paulina,1871,1990,Chile
13,Karen,1840,1990,Chile
14,Carla,1684,1990,Chile
15,Macarena,1559,1990,Chile
16,Alejandra,1497,1990,Chile
17,Catalina,1466,1990,Chile
18,Javiera,1372,1990,Chile
19,Bárbara,1372,1990,Chile
20,Valeria,1310,1990,Chile
21,Andrea,1310,1990,Chile
22,Romina,1278,1990,Chile
23,Fernanda,1216,1990,Chile
24,Paula,1216,1990,Chile
25,Pamela,1216,1990,Chile
26,Elizabeth,1123,1990,Chile
27,Patricia,1123,1990,Chile
28,Tamara,1091,1990,Chile
29,Karina,1060,1990,Chile
30,Jocelyn,1029,1990,Chile
31,Evelyn,1029,1990,Chile
32,Marcela,998,1990,Chile
33,Gabriela,998,1990,Chile
34,Valentina,998,1990,Chile
35,Karla,811,1990,Chile
36,Paola,811,1990,Chile
37,Nicol,780,1990,Chile
38,Catherine,748,1990,Chile
39,Vanessa,748,1990,Chile
40,Viviana,748,1990,Chile
41,Yesenia,748,1990,Chile
42,Victoria,717,1990,Chile
43,Yasna,717,1990,Chile
44,Verónica,717,1990,Chile
45,Jennifer,717,1990,Chile
46,Valeska,655,1990,Chile
47,Yessenia,655,1990,Chile
48,Nataly,655,1990,Chile
49,Rocío,624,1990,Chile
50,Jessica,624,1990,Chile
1,María,7899,1991,Chile
2,Camila,4903,1991,Chile
3,Daniela,4449,1991,Chile
4,Nicole,3904,1991,Chile
5,Katherine,3269,1991,Chile
6,Carolina,3147,1991,Chile
7,Francisca,2724,1991,Chile
8,Bárbara,2572,1991,Chile
9,Claudia,2300,1991,Chile
10,Constanza,2240,1991,Chile
11,Ana,1816,1991,Chile
