Nome;Diffusione (Frequenza);Diffusione (Percentuale)
ANDREA;2100;1.19
FRANCESCO;1871;1.06
MARIA;1778;1.01
MARCO;1750;0.99
GIUSEPPE;1726;0.98
LUCA;1671;0.95
ALESSANDRO;1664;0.94
ANNA;1478;0.84
ANTONIO;1401;0.79
FRANCESCA;1368;0.78
GIOVANNI;1353;0.77
PAOLO;1335;0.76
STEFANO;1260;0.71
ROBERTO;1222;0.69
MATTEO;1198;0.68
ELENA;1132;0.64
DAVIDE;1079;0.61
GIULIA;1035;0.59
LAURA;1027;0.58
SARA;1013;0.57
PAOLA;972;0.55
CHIARA;911;0.52
LORENZO;897;0.51
LUIGI;867;0.49
DANIELA;847;0.48
DANIELE;799;0.45
MASSIMO;794;0.45
SIMONE;788;0.45
SALVATORE;786;0.45
ALBERTO;782;0.44
SILVIA;776;0.44
GABRIELE;760;0.43
RICCARDO;738;0.42
FEDERICO;724;0.41
CLAUDIO;723;0.41
FRANCO;721;0.41
GIORGIO;705;0.40
MONICA;702;0.40
CRISTINA;690;0.39
VALENTINA;686;0.39
ELISA;682;0.39
LUCIA;673;0.38
FEDERICA;669;0.38
FABIO;666;0.38
VINCENZO;654;0.37
GIOVANNA;646;0.37
PATRIZIA;639;0.36
MARTINA;632;0.36
MARIO;626;0.35
PIETRO;622;0.35
ANGELA;620;0.35
MAURO;618;0.35
GIUSEPPINA;613;0.35
BARBARA;596;0.34
ALESSANDRA;592;0.34
DOMENICO;589;0.33
MICHELE;584;0.33
MAURIZIO;573;0.32
LUCIANO;563;0.32
MATTIA;543;0.31
STEFANIA;537;0.30
CARLA;528;0.30
CARLO;524;0.30
SIMONA;524;0.30
ANTONELLA;522;0.30
ROBERTA;516;0.29
CLAUDIA;508;0.29
ALESSIA;504;0.29
FRANCA;502;0.28
FILIPPO;498;0.28
ENRICO;485;0.27
ALICE;483;0.27
ANGELO;474;0.27
SERGIO;472;0.27
ELISABETTA;460;0.26
FABRIZIO;436;0.25
LUISA;426;0.24
SOFIA;424;0.24
GIANLUCA;422;0.24
NICOLA;422;0.24
ANNA MARIA;421;0.24
GIORGIA;419;0.24
CRISTIAN;415;0.24
CATERINA;413;0.23
GIANNI;413;0.23
RITA;398;0.23
SILVANA;397;0.22
MARISA;386;0.22
ROSA;380;0.22
LEONARDO;376;0.21
GIULIANO;368;0.21
EMANUELE;362;0.21
MARTA;357;0.20
TOMMASO;356;0.20
MARINA;353;0.20
ILARIA;351;0.20
ELEONORA;349;0.20
TERESA;347;0.20
ROSANNA;339;0.19
MASSIMILIANO;333;0.19
CINZIA;328;0.19
CORRADO;328;0.19
TIZIANA;327;0.19
VALERIA;325;0.18
GIACOMO;324;0.18
GIANCARLO;321;0.18
RAFFAELE;320;0.18
BRUNO;319;0.18
MOHAMED;316;0.18
GIULIANA;314;0.18
ANNAMARIA;311;0.18
LUCIANA;306;0.17
MANUELA;306;0.17
ANNALISA;303;0.17
VERONICA;302;0.17
ADRIANA;296;0.17
BEATRICE;296;0.17
IVAN;286;0.16
LOREDANA;285;0.16
NADIA;284;0.16
MARGHERITA;283;0.16
ANTONIETTA;281;0.16
SABRINA;279;0.16
CARMELA;275;0.16
EMANUELA;272;0.15
ARIANNA;271;0.15
SAMUELE;269;0.15
GABRIELLA;266;0.15
MIRELLA;264;0.15
CECILIA;263;0.15
CHRISTIAN;263;0.15
MATILDE;259;0.15
NICOLO';258;0.15
ALEX;257;0.15
SONIA;254;0.14
EMMA;253;0.14
LILIANA;244;0.14
PASQUALE;241;0.14
GIANFRANCO;240;0.14
AURORA;238;0.13
GRAZIELLA;238;0.13
IRENE;238;0.13
GRETA;237;0.13
GIADA;236;0.13
MARA;232;0.13
VITTORIO;232;0.13
ALESSIO;221;0.13
LORETTA;221;0.13
LIDIA;218;0.12
MARCELLO;218;0.12
GIULIO;215;0.12
TIZIANO;215;0.12
FAUSTO;214;0.12
GAETANO;214;0.12
ENRICA;211;0.12
UMBERTO;210;0.12
MARIANNA;207;0.12
BRUNA;205;0.12
SILVANO;205;0.12
CIRO;202;0.11
SANDRA;200;0.11
ENZO;197;0.11
MARIA GRAZIA;197;0.11
LINA;194;0.11
DIEGO;193;0.11
GUIDO;191;0.11
DARIO;190;0.11
CARMINE;189;0.11
ALDO;188;0.11
RAFFAELLA;186;0.11
ALFREDO;185;0.10
MIRCO;185;0.10
LETIZIA;184;0.10
MANUEL;184;0.10
EDOARDO;182;0.10
IVANO;182;0.10
EDDA;180;0.10
DEANNA;179;0.10
FILOMENA;178;0.10
ROMANO;178;0.10
ISABELLA;177;0.10
LORENA;177;0.10
SERENA;177;0.10
MARIA TERESA;174;0.10
MAURA;174;0.10
NICOLE;174;0.10
ADELE;173;0.10
MARIA LUISA;172;0.10
RENZO;172;0.10
ERIKA;171;0.10
JESSICA;170;0.10
BENEDETTA;169;0.10
ROSSELLA;169;0.10
AHMED;168;0.10
GINO;167;0.09
LISA;166;0.09
ADRIANO;165;0.09
DANIEL;163;0.09
VITTORIA;162;0.09
NOEMI;160;0.09
CAMILLA;159;0.09
GENNARO;159;0.09
MARZIA;159;0.09
ROSSANA;158;0.09
LINDA;155;0.09
VANNA;155;0.09
EMILIO;153;0.09
GAIA;150;0.08
CARMEN;149;0.08
VALERIO;149;0.08
LARA;148;0.08
ROSARIO;148;0.08
CAROLINA;147;0.08
EMILIA;146;0.08
CONCETTA;145;0.08
OLGA;145;0.08
RENATO;144;0.08
CARLOTTA;142;0.08
DANILO;142;0.08
ROSARIA;141;0.08
GLORIA;140;0.08
VINCENZA;140;0.08
CLARA;139;0.08
DEBORA;136;0.08
JACOPO;136;0.08
CESARE;135;0.08
DOMENICA;135;0.08
MADDALENA;135;0.08
MARIA CRISTINA;135;0.08
THOMAS;135;0.08
BIANCA;134;0.08
EUGENIO;134;0.08
GIANNA;134;0.08
LORENZA;134;0.08
REBECCA;134;0.08
MARIAGRAZIA;132;0.07
IDA;131;0.07
TATIANA;131;0.07
DONATELLA;130;0.07
IVANA;130;0.07
RINA;130;0.07
GRAZIA;128;0.07
NICOLETTA;128;0.07
OMAR;128;0.07
CATIA;126;0.07
MORENA;122;0.07
VIOLA;122;0.07
ERMANNO;120;0.07
FATIMA;120;0.07
VITO;120;0.07
ARMANDO;119;0.07
MARIYA;119;0.07
KATIA;118;0.07
WILLIAM;118;0.07
AGNESE;116;0.07
SAMUEL;116;0.07
ALFONSO;115;0.07
KHADIJA;115;0.07
NATALIA;115;0.07
ANTONIA;114;0.06
ETTORE;112;0.06
MIRIAM;112;0.06
ASIA;111;0.06
INES;109;0.06
MOHAMMED;109;0.06
SANDRO;109;0.06
SILVIO;109;0.06
MICHELA;108;0.06
SUSANNA;108;0.06
VIRGINIA;107;0.06
GINA;106;0.06
MARIALUISA;106;0.06
ROCCO;106;0.06
ASSUNTA;105;0.06
DIANA;105;0.06
GRAZIANO;105;0.06
ANGELICA;104;0.06
LORIS;103;0.06
ELIA;102;0.06
MIRKO;102;0.06
MILENA;99;0.06
CRISTIANO;98;0.06
LAURO;98;0.06
ERICA;97;0.05
MONIA;97;0.05
GABRIEL;96;0.05
ELVIRA;95;0.05
REMO;95;0.05
EVA;94;0.05
LORELLA;94;0.05
MARIA ROSARIA;94;0.05
NATALIYA;94;0.05
ANTONINO;93;0.05
MICHAEL;93;0.05
COSIMO;91;0.05
FLAVIO;91;0.05
MARILENA;91;0.05
KEVIN;89;0.05
MARIANGELA;89;0.05
ELIO;88;0.05
MELISSA;88;0.05
ANNUNZIATA;87;0.05
DENIS;87;0.05
ILENIA;87;0.05
MARIA ROSA;87;0.05
SIMONETTA;87;0.05
VANESSA;87;0.05
GIAMPAOLO;86;0.05
MARIA PIA;86;0.05
ROMANA;86;0.05
MARCELLA;85;0.05
NINA;85;0.05
IOLANDA;84;0.05
ADAM;83;0.05
NICHOLAS;83;0.05
MARIACRISTINA;82;0.05
MARINELLA;82;0.05
SEBASTIANO;82;0.05
DINO;81;0.05
ERMES;81;0.05
ORNELLA;81;0.05
PIERINA;81;0.05
UGO;81;0.05
ALI;80;0.05
FABRIZIA;80;0.05
FERNANDO;80;0.05
OSCAR;80;0.05
RENATA;80;0.05
YOUSSEF;80;0.05
ADA;79;0.04
GIORDANO;79;0.04
MARIKA;79;0.04
PIERLUIGI;79;0.04
VALTER;79;0.04
ANITA;78;0.04
LYUDMYLA;78;0.04
MARIELLA;78;0.04
OKSANA;78;0.04
ERNESTO;77;0.04
GINEVRA;77;0.04
RINO;77;0.04
TETYANA;77;0.04
IRYNA;76;0.04
IVO;76;0.04
DANTE;75;0.04
EROS;75;0.04
WALTER;75;0.04
ALBA;73;0.04
IRMA;72;0.04
LUCIO;72;0.04
VICTORIA;72;0.04
AMEDEO;71;0.04
GIUSEPPA;71;0.04
VERA;71;0.04
VILMA;71;0.04
FERDINANDO;70;0.04
IVANNA;70;0.04
LAILA;70;0.04
LINO;70;0.04
NINO;70;0.04
DAVID;69;0.04
GERARDO;69;0.04
ION;69;0.04
LIVIA;69;0.04
NORMA;69;0.04
FERNANDA;68;0.04
MAURIZIA;68;0.04
NICCOLO';68;0.04
SAVERIO;68;0.04
TANIA;68;0.04
LIA;67;0.04
SVITLANA;67;0.04
AICHA;66;0.04
ALAN;66;0.04
AUGUSTO;66;0.04
DENISE;66;0.04
IMMACOLATA;66;0.04
JENNIFER;66;0.04
VANDA;66;0.04
VILLIAM;66;0.04
ANGIOLINA;65;0.04
DEBORAH;65;0.04
LUANA;65;0.04
LUDOVICA;65;0.04
STELLA;65;0.04
AGATA;64;0.04
ALDA;64;0.04
ANA;64;0.04
DIMMA;64;0.04
LILIA;64;0.04
MARIACHIARA;64;0.04
NELLA;64;0.04
TAMARA;64;0.04
CRISTIANA;63;0.04
DONATO;63;0.04
GIAN CARLO;63;0.04
LEDA;63;0.04
MARIA ANTONIETTA;63;0.04
ANGELINA;62;0.04
HALYNA;62;0.04
LIVIO;62;0.04
NADIYA;62;0.04
OLENA;62;0.04
ROSALBA;62;0.04
ROSINA;62;0.04
SVETLANA;62;0.04
NUNZIA;61;0.03
VALENTYNA;61;0.03
ELSA;60;0.03
ESTER;60;0.03
FABIANA;60;0.03
FULVIO;60;0.03
IVONNE;60;0.03
LEO;60;0.03
LUIGIA;60;0.03
MARIA CHIARA;60;0.03
ROSETTA;60;0.03
ATTILIO;59;0.03
ENEA;59;0.03
ITALO;59;0.03
MAGDA;59;0.03
OMBRETTA;59;0.03
RAFFAELA;59;0.03
ALBERTA;58;0.03
AVE;58;0.03
ILEANA;58;0.03
MAFALDA;58;0.03
AMELIA;57;0.03
ARTURO;57;0.03
DINA;57;0.03
ELDA;57;0.03
EUGENIA;57;0.03
FELICE;57;0.03
FLAVIA;57;0.03
PASQUALINA;57;0.03
VALENTINO;57;0.03
ACHILLE;56;0.03
DAMIANO;56;0.03
LEA;56;0.03
MARIANA;56;0.03
MARIATERESA;56;0.03
NICOLAS;56;0.03
PIERPAOLO;56;0.03
VIVIANA;56;0.03
AMOS;55;0.03
AURELIA;55;0.03
LYUBOV;55;0.03
MARINO;55;0.03
CARMELO;54;0.03
EMILIANO;54;0.03
RAMONA;54;0.03
ROSALIA;54;0.03
DEA;53;0.03
ENZA;53;0.03
HASSAN;53;0.03
LUCREZIA;53;0.03
RACHELE;53;0.03
SAID;53;0.03
AMBRA;52;0.03
GERMANA;52;0.03
GREGORIO;52;0.03
GUGLIELMO;52;0.03
PRIMO;52;0.03
RENZA;52;0.03
SAMANTHA;52;0.03
CARMELINA;51;0.03
FIORELLA;51;0.03
MAICOL;51;0.03
ANNARITA;50;0.03
MICHELLE;50;0.03
MIRCA;50;0.03
ERMINIA;49;0.03
KARIM;49;0.03
SILVA;49;0.03
ANASTASIA;48;0.03
ANIELLO;48;0.03
AURELIO;48;0.03
BRUNELLA;48;0.03
EBE;48;0.03
GIANCARLA;48;0.03
MAIA;48;0.03
RAYAN;48;0.03
SAURO;48;0.03
ABDERRAHIM;47;0.03
ILDE;47;0.03
IRIS;47;0.03
OLHA;47;0.03
SANTINA;47;0.03
ALBERTINA;46;0.03
IBRAHIM;46;0.03
MARIA ELENA;46;0.03
RACHID;46;0.03
ADELMO;45;0.03
ELIANA;45;0.03
ELIDE;45;0.03
LEILA;45;0.03
MIRIA;45;0.03
MUSTAPHA;45;0.03
RODOLFO;45;0.03
ROMEO;45;0.03
ANDREI;44;0.02
DARIA;44;0.02
GALYNA;44;0.02
GIAN FRANCO;44;0.02
PIER LUIGI;44;0.02
PIERINO;44;0.02
SARAH;44;0.02
TERESINA;44;0.02
ALEXANDRU;43;0.02
ATHOS;43;0.02
CLEMENTINA;43;0.02
PAMELA;43;0.02
ADOLFO;42;0.02
ENNIO;42;0.02
GIAN PAOLO;42;0.02
IOLE;42;0.02
LICIA;42;0.02
NUNZIO;42;0.02
VANNI;42;0.02
AGOSTINO;41;0.02
EMMANUEL;41;0.02
GLAUCO;41;0.02
HICHAM;41;0.02
IGOR;41;0.02
MALIKA;41;0.02
MARIA ANGELA;41;0.02
MARIAM;41;0.02
MIA;41;0.02
ROMINA;41;0.02
VICTOR;41;0.02
YASSINE;41;0.02
ALMA;40;0.02
BENITO;40;0.02
ERIO;40;0.02
ESTHER;40;0.02
MARIA GIOVANNA;40;0.02
MARIA VITTORIA;40;0.02
MARIAROSARIA;40;0.02
MORENO;40;0.02
VASILE;40;0.02
CESARINA;39;0.02
EZIO;39;0.02
FATIHA;39;0.02
ILVA;39;0.02
NAIMA;39;0.02
NATALINA;39;0.02
PIERA;39;0.02
PIERO;39;0.02
SAADIA;39;0.02
SABINA;39;0.02
AMINA;38;0.02
EGIDIO;38;0.02
GHEORGHE;38;0.02
MIHAELA;38;0.02
MUHAMMAD;38;0.02
COSTANZA;37;0.02
GABRIELA;37;0.02
GEMMA;37;0.02
IRINA;37;0.02
MARIA RITA;37;0.02
ROSSANO;37;0.02
SEBASTIAN;37;0.02
YASMINE;37;0.02
AFRO;36;0.02
EMILY;36;0.02
ERNESTINA;36;0.02
FLORA;36;0.02
JOY;36;0.02
LUDOVICO;36;0.02
NATALE;36;0.02
ALEXANDRA;35;0.02
ALINA;35;0.02
AMALIA;35;0.02
ARNALDO;35;0.02
COSETTA;35;0.02
FERRUCCIO;35;0.02
GIAN LUCA;35;0.02
ISABEL;35;0.02
MARIA FRANCESCA;35;0.02
MARIAPIA;35;0.02
PIERGIORGIO;35;0.02
PROSPERO;35;0.02
SAMIRA;35;0.02
SANTE;35;0.02
ERIK;34;0.02
FABIOLA;34;0.02
GIANNINA;34;0.02
HAMZA;34;0.02
HANNA;34;0.02
IRIDE;34;0.02
MARIA CONCETTA;34;0.02
MARIAROSA;34;0.02
NERINA;34;0.02
ROLANDO;34;0.02
ROSELLA;34;0.02
SHARON;34;0.02
ZAKARIA;34;0.02
ALDINA;33;0.02
BIAGIO;33;0.02
CAMILLO;33;0.02
KHALID;33;0.02
MARTINO;33;0.02
OTELLO;33;0.02
VIOLETA;33;0.02
ANTHONY;32;0.02
ELIZABETH;32;0.02
GILBERTO;32;0.02
GIOVANNINA;32;0.02
LIVIANA;32;0.02
MALAK;32;0.02
MARIA GABRIELLA;32;0.02
MARIA STELLA;32;0.02
MICHELINA;32;0.02
NELLO;32;0.02
ORLANDO;32;0.02
OSVALDO;32;0.02
RICHARD;32;0.02
VIORICA;32;0.02
ADUA;31;0.02
ANNA RITA;31;0.02
BOUCHRA;31;0.02
CONSTANTIN;31;0.02
DORIANA;31;0.02
EMORE;31;0.02
GALINA;31;0.02
GEORGE;31;0.02
GRAZIANA;31;0.02
LIANA;31;0.02
MARIANO;31;0.02
PIA;31;0.02
SERGIU;31;0.02
VASYL;31;0.02
VIRGINIO;31;0.02
VITTORINA;31;0.02
