"NOMI","DIFFUSIONE (FREQUENZA)"
"ANDREA",2124
"FRANCESCO",1845
"MARCO",1737
"ALESSANDRO",1691
"GIUSEPPE",1654
"LUCA",1653
"MARIA",1623
"ANNA",1416
"ANTONIO",1359
"FRANCESCA",1341
"GIOVANNI",1282
"PAOLO",1253
"STEFANO",1231
"MATTEO",1219
"ROBERTO",1163
"ELENA",1119
"DAVIDE",1097
"GIULIA",1071
"SARA",1021
"LAURA",952
"CHIARA",937
"PAOLA",933
"LORENZO",919
"DANIELA",820
"LUIGI",815
"DANIELE",804
"RICCARDO",803
"SIMONE",799
"GABRIELE",798
"SALVATORE",776
"MASSIMO",770
"SILVIA",756
"FEDERICO",750
"ALBERTO",744
"CLAUDIO",706
"CRISTINA",690
"FABIO",679
"VALENTINA",679
"MARTINA",678
"MONICA",671
"FEDERICA",668
"ELISA",659
"VINCENZO",655
"LUCIA",639
"GIORGIO",633
"FRANCO",617
"PATRIZIA",615
"MATTIA",609
"GIOVANNA",603
"ANGELA",603
"PIETRO",600
"MAURO",594
"ALESSANDRA",593
"MICHELE",587
"BARBARA",580
"MARIO",560
"GIUSEPPINA",555
"DOMENICO",555
"MAURIZIO",541
"STEFANIA",536
"FILIPPO",521
"ROBERTA",521
"SIMONA",519
"ANTONELLA",518
"ALESSIA",511
"ALICE",505
"CLAUDIA",505
"LUCIANO",494
"CARLA",493
"SOFIA",489
"ENRICO",482
"LEONARDO",463
"CARLO",460
"ELISABETTA",449
"GIORGIA",439
"ANGELO",433
"FRANCA",431
"FABRIZIO",427
"SERGIO",424
"NICOLA",413
"GIANLUCA",413
"CRISTIAN",411
"CATERINA",410
"RITA",403
"TOMMASO",402
"LUISA",399
"ANNA MARIA",394
"ELEONORA",383
"GIANNI",378
"EMANUELE",378
"SILVANA",358
"ROSA",352
"MARINA",349
"MARTA",347
"ILARIA",346
"GIULIANO",343
"BEATRICE",341
"MARISA",339
"VALERIA",337
"GIACOMO",335
"TIZIANA",317
"CINZIA",316
"TERESA",314
"RAFFAELE",313
"MASSIMILIANO",309
"CORRADO",308
"ROSANNA",307
"ANNALISA",305
"SAMUELE",302
"GIULIANA",299
"MANUELA",298
"MATILDE",297
"MARGHERITA",294
"ARIANNA",294
"VERONICA",291
"AURORA",289
"ANNAMARIA",289
"NICOLO'",288
"BRUNO",288
"GIANCARLO",282
"GRETA",278
"SABRINA",278
"EMMA",274
"LOREDANA",274
"IVAN",273
"NADIA",271
"ANTONIETTA",270
"CECILIA",269
"LUCIANA",269
"CARMELA",267
"EMANUELA",266
"GABRIELLA",265
"CHRISTIAN",264
"SONIA",263
"ALEX",261
"IRENE",252
"PASQUALE",250
"ADRIANA",249
"GIADA",248
"ALESSIO",239
"MOHAMED",237
"MIRELLA",236
"VITTORIO",227
"GRAZIELLA",225
"DIEGO",222
"EDOARDO",219
"MARA",217
"GIANFRANCO",216
"MARCELLO",214
"GIULIO",212
"LORETTA",211
"LILIANA",208
"TIZIANO",206
"CIRO",205
"GAETANO",205
"MARIANNA",203
"MANUEL",203
"FAUSTO",198
"UMBERTO",195
"ENRICA",193
"MARIA GRAZIA",192
"RAFFAELLA",191
"SERENA",190
"SANDRA",190
"CARMINE",190
"DARIO",188
"LETIZIA",187
"MIRCO",185
"VITTORIA",185
"NICOLE",185
"LIDIA",182
"ISABELLA",180
"CAMILLA",179
"BENEDETTA",177
"GAIA",175
"ALFREDO",171
"LORENA",171
"LISA",170
"GUIDO",168
"DEANNA",167
"LINA",166
"ERIKA",166
"JESSICA",165
"SILVANO",165
"DANIEL",165
"IVANO",164
"MAURA",164
"GENNARO",163
"ADELE",162
"REBECCA",161
"BRUNA",161
"FILOMENA",161
"ROSSELLA",160
"NOEMI",160
"ROSSANA",160
"MARIA TERESA",159
"ALDO",158
"ENZO",157
"MARZIA",154
"MARIA LUISA",153
"EDDA",150
"BIANCA",150
"LINDA",149
"CARLOTTA",148
"JACOPO",147
"ADRIANO",146
"ROMANO",146
"VALERIO",146
"ROSARIO",144
"GLORIA",144
"CONCETTA",143
"VIOLA",142
"GINO",142
"LARA",142
"THOMAS",141
"VANNA",139
"ROSARIA",139
"OLGA",137
"EMILIO",137
"MADDALENA",136
"CARMEN",135
"EMILIA",134
"VINCENZA",133
"CAROLINA",133
"RENZO",133
"LORENZA",132
"NATALIA",132
"DEBORA",131
"TATIANA",131
"AGNESE",131
"GRAZIA",131
"MARIA CRISTINA",130
"DANILO",129
"MARIAGRAZIA",129
"NICOLETTA",129
"CESARE",128
"DONATELLA",127
"EUGENIO",126
"CLARA",125
"GIANNA",124
"DOMENICA",123
"AHMED",123
"ASIA",123
"OMAR",122
"RENATO",121
"KATIA",121
"SAMUEL",120
"MORENA",119
"CATIA",118
"MICHELA",117
"FATIMA",116
"ETTORE",115
"ELIA",115
"VITO",115
"MIRIAM",114
"IVANA",113
"ANTONIA",111
"KHADIJA",110
"MIRKO",109
"ALFONSO",109
"DIANA",109
"GINEVRA",108
"ARMANDO",107
"GABRIEL",107
"IDA",106
"ANGELICA",106
"VIRGINIA",105
"GRAZIANO",104
"ASSUNTA",104
"SANDRO",103
"MARIYA",103
"ROCCO",103
"WILLIAM",102
"MONIA",102
"ERMANNO",100
