NOME,DIFFUSIONE (FREQUENZA)
ANDREA,2120
FRANCESCO,1854
MARCO,1735
GIUSEPPE,1686
ALESSANDRO,1682
MARIA,1672
LUCA,1654
ANNA,1435
ANTONIO,1373
FRANCESCA,1348
GIOVANNI,1307
PAOLO,1270
STEFANO,1242
MATTEO,1218
ROBERTO,1179
ELENA,1138
DAVIDE,1076
GIULIA,1067
SARA,1022
LAURA,976
PAOLA,945
CHIARA,936
LORENZO,917
DANIELA,824
LUIGI,821
DANIELE,800
SIMONE,787
GABRIELE,787
RICCARDO,780
SALVATORE,776
MASSIMO,772
ALBERTO,760
SILVIA,758
FEDERICO,739
CLAUDIO,707
CRISTINA,691
MONICA,676
FEDERICA,673
VALENTINA,672
ELISA,670
FABIO,670
MARTINA,664
VINCENZO,663
GIORGIO,657
FRANCO,644
LUCIA,640
PATRIZIA,623
GIOVANNA,616
PIETRO,609
ANGELA,604
MAURO,602
MATTIA,591
ALESSANDRA,589
MICHELE,588
MARIO,582
BARBARA,580
DOMENICO,568
GIUSEPPINA,567
MAURIZIO,544
STEFANIA,535
ROBERTA,524
ANTONELLA,520
ALESSIA,520
SIMONA,519
FILIPPO,516
LUCIANO,510
CLAUDIA,506
CARLA,503
ALICE,494
ENRICO,484
CARLO,478
SOFIA,470
ELISABETTA,454
FRANCA,444
SERGIO,442
GIORGIA,439
LEONARDO,435
ANGELO,434
FABRIZIO,429
GIANLUCA,415
CATERINA,414
CRISTIAN,413
NICOLA,412
LUISA,410
ANNA MARIA,400
RITA,400
TOMMASO,390
GIANNI,389
ELEONORA,374
SILVANA,373
ROSA,367
EMANUELE,361
MARTA,356
MARISA,352
MARINA,351
ILARIA,346
GIULIANO,343
GIACOMO,337
VALERIA,335
BEATRICE,330
TERESA,328
CINZIA,320
TIZIANA,318
ROSANNA,317
CORRADO,315
MASSIMILIANO,314
RAFFAELE,312
ANNALISA,304
GIULIANA,300
BRUNO,300
VERONICA,299
MANUELA,297
ANNAMARIA,294
GIANCARLO,294
ARIANNA,292
SAMUELE,291
MARGHERITA,290
MATILDE,287
LOREDANA,279
CARMELA,278
LUCIANA,278
ANTONIETTA,277
SABRINA,274
IVAN,274
NICOLO',271
AURORA,269
NADIA,269
EMANUELA,268
CECILIA,268
GRETA,267
GABRIELLA,266
EMMA,265
SONIA,263
ALEX,263
ADRIANA,262
MOHAMED,260
CHRISTIAN,255
PASQUALE,253
GIADA,248
IRENE,246
MIRELLA,238
ALESSIO,235
GRAZIELLA,230
VITTORIO,230
GIANFRANCO,221
MARCELLO,219
MARA,217
GIULIO,215
DIEGO,214
LILIANA,213
LORETTA,212
TIZIANO,212
EDOARDO,206
CIRO,205
FAUSTO,204
GAETANO,203
MANUEL,202
MARIANNA,201
UMBERTO,197
LIDIA,196
MARIA GRAZIA,195
ENRICA,194
CARMINE,193
SANDRA,191
DARIO,189
RAFFAELLA,189
LETIZIA,188
SERENA,188
NICOLE,186
MIRCO,184
VITTORIA,180
ALFREDO,179
ISABELLA,179
CAMILLA,177
LINA,176
LORENA,176
BENEDETTA,175
SILVANO,175
BRUNA,173
ERIKA,173
ENZO,173
DEANNA,172
GUIDO,172
GAIA,170
GENNARO,170
IVANO,169
FILOMENA,167
JESSICA,167
ALDO,166
ADELE,166
MAURA,165
LISA,165
MARIA TERESA,164
NOEMI,164
ROSSELLA,163
DANIEL,162
MARIA LUISA,158
EDDA,158
ROMANO,157
ROSSANA,156
MARZIA,154
REBECCA,153
LINDA,153
VALERIO,149
ADRIANO,149
GINO,148
BIANCA,147
OLGA,146
CONCETTA,146
JACOPO,145
GLORIA,145
CARLOTTA,145
VANNA,144
RENZO,143
LARA,142
ROSARIA,142
THOMAS,140
ROSARIO,140
EMILIO,140
VIOLA,140
MADDALENA,138
CARMEN,137
TATIANA,136
CAROLINA,135
NATALIA,134
DEBORA,133
DANILO,133
GRAZIA,133
AHMED,133
VINCENZA,132
MARIA CRISTINA,131
CESARE,130
DONATELLA,129
MARIAGRAZIA,129
DOMENICA,129
LORENZA,129
RENATO,128
EMILIA,128
AGNESE,127
GIANNA,127
NICOLETTA,126
EUGENIO,126
CLARA,125
KATIA,123
SAMUEL,122
VITO,122
CATIA,121
ASIA,121
MORENA,118
IVANA,117
MICHELA,116
OMAR,115
FATIMA,115
ELIA,114
ETTORE,113
MIRIAM,112
KHADIJA,112
ANTONIA,111
DIANA,110
ARMANDO,109
GABRIEL,109
ALFONSO,108
IDA,108
MIRKO,108
MARIYA,108
SANDRO,106
VIRGINIA,105
ASSUNTA,105
GRAZIANO,104
WILLIAM,104
RINA,103
SUSANNA,103
GINEVRA,103
ROCCO,103
ANGELICA,102
ERMANNO,102
LORIS,101
MARIALUISA,101
MILENA,100
MONIA,100
